transaksi_id;invoice_line_id;invoice_id;sk_track;album_title;artist_name;genre_name;media_name;sk_trackdate;kuartal;tanggal;bulan;tahun_angka;hari_dalam_bulan_angka;sk_employee;employee_name;sk_customer;customer_name;unit_price;quantity;totalrevenue;billing_country
1;1;1;2;Balls to the Wall                                                                                                                                               ;Accept                                                                                                                  ;Rock                                                                                                                    ;Protected AAC audio file                                                                                                ;20210101;Q1;2021/01/01 00:00:00.000000000;January                       ;2021;1;5;Steve Johnson                                                                                       ;2;Leonie Köhler                                                                                       ;0.99;1;0.99;Germany                                                                                             
2;2;1;4;Restless and Wild                                                                                                                                               ;Accept                                                                                                                  ;Rock                                                                                                                    ;Protected AAC audio file                                                                                                ;20210101;Q1;2021/01/01 00:00:00.000000000;January                       ;2021;1;5;Steve Johnson                                                                                       ;2;Leonie Köhler                                                                                       ;0.99;1;0.99;Germany                                                                                             
3;3;2;6;For Those About To Rock We Salute You                                                                                                                           ;AC/DC                                                                                                                   ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20210102;Q1;2021/01/02 00:00:00.000000000;January                       ;2021;2;4;Margaret Park                                                                                       ;4;Bjørn Hansen                                                                                        ;0.99;1;0.99;Norway                                                                                              
4;4;2;8;For Those About To Rock We Salute You                                                                                                                           ;AC/DC                                                                                                                   ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20210102;Q1;2021/01/02 00:00:00.000000000;January                       ;2021;2;4;Margaret Park                                                                                       ;4;Bjørn Hansen                                                                                        ;0.99;1;0.99;Norway                                                                                              
5;5;2;10;For Those About To Rock We Salute You                                                                                                                           ;AC/DC                                                                                                                   ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20210102;Q1;2021/01/02 00:00:00.000000000;January                       ;2021;2;4;Margaret Park                                                                                       ;4;Bjørn Hansen                                                                                        ;0.99;1;0.99;Norway                                                                                              
6;6;2;12;For Those About To Rock We Salute You                                                                                                                           ;AC/DC                                                                                                                   ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20210102;Q1;2021/01/02 00:00:00.000000000;January                       ;2021;2;4;Margaret Park                                                                                       ;4;Bjørn Hansen                                                                                        ;0.99;1;0.99;Norway                                                                                              
7;7;3;16;Let There Be Rock                                                                                                                                               ;AC/DC                                                                                                                   ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20210103;Q1;2021/01/03 00:00:00.000000000;January                       ;2021;3;4;Margaret Park                                                                                       ;8;Daan Peeters                                                                                        ;0.99;1;0.99;Belgium                                                                                             
8;8;3;20;Let There Be Rock                                                                                                                                               ;AC/DC                                                                                                                   ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20210103;Q1;2021/01/03 00:00:00.000000000;January                       ;2021;3;4;Margaret Park                                                                                       ;8;Daan Peeters                                                                                        ;0.99;1;0.99;Belgium                                                                                             
9;9;3;24;Big Ones                                                                                                                                                        ;Aerosmith                                                                                                               ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20210103;Q1;2021/01/03 00:00:00.000000000;January                       ;2021;3;4;Margaret Park                                                                                       ;8;Daan Peeters                                                                                        ;0.99;1;0.99;Belgium                                                                                             
10;10;3;28;Big Ones                                                                                                                                                        ;Aerosmith                                                                                                               ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20210103;Q1;2021/01/03 00:00:00.000000000;January                       ;2021;3;4;Margaret Park                                                                                       ;8;Daan Peeters                                                                                        ;0.99;1;0.99;Belgium                                                                                             
11;11;3;32;Big Ones                                                                                                                                                        ;Aerosmith                                                                                                               ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20210103;Q1;2021/01/03 00:00:00.000000000;January                       ;2021;3;4;Margaret Park                                                                                       ;8;Daan Peeters                                                                                        ;0.99;1;0.99;Belgium                                                                                             
12;12;3;36;Big Ones                                                                                                                                                        ;Aerosmith                                                                                                               ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20210103;Q1;2021/01/03 00:00:00.000000000;January                       ;2021;3;4;Margaret Park                                                                                       ;8;Daan Peeters                                                                                        ;0.99;1;0.99;Belgium                                                                                             
13;13;4;42;Jagged Little Pill                                                                                                                                              ;Alanis Morissette                                                                                                       ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20210106;Q1;2021/01/06 00:00:00.000000000;January                       ;2021;6;5;Steve Johnson                                                                                       ;14;Mark Philips                                                                                        ;0.99;1;0.99;Canada                                                                                              
14;14;4;48;Jagged Little Pill                                                                                                                                              ;Alanis Morissette                                                                                                       ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20210106;Q1;2021/01/06 00:00:00.000000000;January                       ;2021;6;5;Steve Johnson                                                                                       ;14;Mark Philips                                                                                        ;0.99;1;0.99;Canada                                                                                              
15;15;4;54;Facelift                                                                                                                                                        ;Alice In Chains                                                                                                         ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20210106;Q1;2021/01/06 00:00:00.000000000;January                       ;2021;6;5;Steve Johnson                                                                                       ;14;Mark Philips                                                                                        ;0.99;1;0.99;Canada                                                                                              
16;16;4;60;Facelift                                                                                                                                                        ;Alice In Chains                                                                                                         ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20210106;Q1;2021/01/06 00:00:00.000000000;January                       ;2021;6;5;Steve Johnson                                                                                       ;14;Mark Philips                                                                                        ;0.99;1;0.99;Canada                                                                                              
17;17;4;66;Warner 25 Anos                                                                                                                                                  ;Antônio Carlos Jobim                                                                                                    ;Jazz                                                                                                                    ;MPEG audio file                                                                                                         ;20210106;Q1;2021/01/06 00:00:00.000000000;January                       ;2021;6;5;Steve Johnson                                                                                       ;14;Mark Philips                                                                                        ;0.99;1;0.99;Canada                                                                                              
18;18;4;72;Warner 25 Anos                                                                                                                                                  ;Antônio Carlos Jobim                                                                                                    ;Jazz                                                                                                                    ;MPEG audio file                                                                                                         ;20210106;Q1;2021/01/06 00:00:00.000000000;January                       ;2021;6;5;Steve Johnson                                                                                       ;14;Mark Philips                                                                                        ;0.99;1;0.99;Canada                                                                                              
19;19;4;78;Plays Metallica By Four Cellos                                                                                                                                  ;Apocalyptica                                                                                                            ;Metal                                                                                                                   ;MPEG audio file                                                                                                         ;20210106;Q1;2021/01/06 00:00:00.000000000;January                       ;2021;6;5;Steve Johnson                                                                                       ;14;Mark Philips                                                                                        ;0.99;1;0.99;Canada                                                                                              
20;20;4;84;Plays Metallica By Four Cellos                                                                                                                                  ;Apocalyptica                                                                                                            ;Metal                                                                                                                   ;MPEG audio file                                                                                                         ;20210106;Q1;2021/01/06 00:00:00.000000000;January                       ;2021;6;5;Steve Johnson                                                                                       ;14;Mark Philips                                                                                        ;0.99;1;0.99;Canada                                                                                              
21;21;4;90;Audioslave                                                                                                                                                      ;Audioslave                                                                                                              ;Rock                                                                                                                    ;MPEG audio file                                                                                                         ;20210106;Q1;2021/01/06 00:00:00.000000000;January                       ;2021;6;5;Steve Johnson                                                                                       ;14;Mark Philips                                                                                        ;0.99;1;0.99;Canada                                                                                              
22;22;5;99;Out Of Exile                                                                                                                                                    ;Audioslave                                                                                                              ;Alternative & Punk                                                                                                      ;MPEG audio file                                                                                                         ;20210111;Q1;2021/01/11 00:00:00.000000000;January                       ;2021;11;4;Margaret Park                                                                                       ;23;John Gordon                                                                                         ;0.99;1;0.99;USA                                                                                                 
23;23;5;108;Out Of Exile                                                                                                                                                    ;Audioslave                                                                                                              ;Alternative & Punk                                                                                                      ;MPEG audio file                                                                                                         ;20210111;Q1;2021/01/11 00:00:00.000000000;January                       ;2021;11;4;Margaret Park                                                                                       ;23;John Gordon                                                                                         ;0.99;1;0.99;USA                                                                                                 
24;24;5;117;BackBeat Soundtrack                                                                                                                                             ;BackBeat                                                                                                                ;Rock And Roll                                                                                                           ;MPEG audio file                                                                                                         ;20210111;Q1;2021/01/11 00:00:00.000000000;January                       ;2021;11;4;Margaret Park                                                                                       ;23;John Gordon                                                                                         ;0.99;1;0.99;USA                                                                                                 
25;25;5;126;The Best Of Billy Cobham                                                                                                                                        ;Billy Cobham                                                                                                            ;Jazz                                                                                                                    ;MPEG audio file                                                                                                         ;20210111;Q1;2021/01/11 00:00:00.000000000;January                       ;2021;11;4;Margaret Park                                                                                       ;23;John Gordon                                                                                         ;0.99;1;0.99;USA                                                                                                 
26;26;5;135;Alcohol Fueled Brewtality Live! [Disc 1]                                                                                                                        ;Black Label Society                                                                                                     ;Metal                                                                                                                   ;MPEG audio file                                                                                                         ;20210111;Q1;2021/01/11 00:00:00.000000000;January                       ;2021;11;4;Margaret Park                                                                                       ;23;John Gordon                                                                                         ;0.99;1;0.99;USA                                                                                                 
27;27;5;144;Alcohol Fueled Brewtality Live! [Disc 2]                                                                                                                        ;Black Label Society                                                                                                     ;Metal                                                                                                                   ;MPEG audio file                                                                                                         ;20210111;Q1;2021/01/11 00:00:00.000000000;January                       ;2021;11;4;Margaret Park                                                                                       ;23;John Gordon                                                                                         ;0.99;1;0.99;USA                                                                                                 
28;28;5;153;Black Sabbath                                                                                                                                                   ;Black Sabbath                                                                                                           ;Metal                                                                                                                   ;MPEG audio file                                                                                                         ;20210111;Q1;2021/01/11 00:00:00.000000000;January                       ;2021;11;4;Margaret Park                                                                                       ;23;John Gordon                                                                                         ;0.99;1;0.99;USA                                                                                                 
29;29;5;162;Black Sabbath Vol. 4 (Remaster)                                                                                                                                 ;Black Sabbath                                                                                                           ;Metal                                                                                                                   ;MPEG audio file                                                                                                         ;20210111;Q1;2021/01/11 00:00:00.000000000;January                       ;2021;11;4;Margaret Park                                                                                       ;23;John Gordon                                                                                         ;0.99;1;0.99;USA                                                                                                 
30;30;5;171;Body Count                                                                                                                                                      ;Body Count                                                                                                              ;Alternative & Punk                                                                                                      ;MPEG audio file                                                                                                         ;20210111;Q1;2021/01/11 00:00:00.000000000;January                       ;2021;11;4;Margaret Park                                                                                       ;23;John Gordon                                                                                         ;0.99;1;0.99;USA                                                                                                 
31;31;5;180;Body Count                                                                                                                                                      ;Body Count                                                                                                              ;Alternative & Punk                                                                                                      ;MPEG audio file                                                                                                         ;20210111;Q1;2021/01/11 00:00:00.000000000;January                       ;2021;11;4;Margaret Park                                                                                       ;23;John Gordon                                                                                         ;0.99;1;0.99;USA                                                                                                 
32;32;5;189;Chemical Wedding                                                                                                                                                ;Bruce Dickinson                                                                                                         ;Metal                                                                                                                   ;MPEG audio file                                                                                                         ;20210111;Q1;2021/01/11 00:00:00.000000000;January                       ;2021;11;4;Margaret Park                                                                                       ;23;John Gordon                                                                                         ;0.99;1;0.99;USA                                                                                                 
